<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.06	00:00:00	1.08533	1.08570	1.08463	1.08490	2722	0	0
2023.07.06	04:00:00	1.08490	1.08531	1.08337	1.08434	4850	0	0
2023.07.06	08:00:00	1.08433	1.08755	1.08417	1.08641	13335	0	0
2023.07.06	12:00:00	1.08643	1.09007	1.08585	1.08739	21204	0	0
2023.07.06	16:00:00	1.08739	1.08878	1.08336	1.08725	27424	0	0
2023.07.06	20:00:00	1.08723	1.08929	1.08722	1.08883	4583	0	0
2023.07.07	00:00:00	1.08853	1.08949	1.08824	1.08853	2711	0	0
2023.07.07	04:00:00	1.08851	1.08951	1.08834	1.08912	3411	0	0
2023.07.07	08:00:00	1.08916	1.09003	1.08671	1.08776	11437	0	0
2023.07.07	12:00:00	1.08776	1.09316	1.08701	1.09118	21856	0	0
2023.07.07	16:00:00	1.09117	1.09728	1.08954	1.09718	28857	0	0
2023.07.07	20:00:00	1.09717	1.09734	1.09633	1.09680	6430	0	0
2023.07.10	00:00:00	1.09590	1.09698	1.09541	1.09642	3498	0	0
2023.07.10	04:00:00	1.09642	1.09695	1.09526	1.09531	4998	0	0
2023.07.10	08:00:00	1.09531	1.09656	1.09452	1.09648	8985	0	0
2023.07.10	12:00:00	1.09648	1.09734	1.09436	1.09470	10772	0	0
2023.07.10	16:00:00	1.09471	1.09929	1.09471	1.09893	15421	0	0
2023.07.10	20:00:00	1.09893	1.10015	1.09875	1.10007	4813	0	0
2023.07.11	00:00:00	1.10008	1.10088	1.09946	1.10067	2412	0	0
2023.07.11	04:00:00	1.10068	1.10202	1.10058	1.10198	4420	0	0
2023.07.11	08:00:00	1.10198	1.10270	1.10022	1.10027	12011	0	0
2023.07.11	12:00:00	1.10027	1.10127	1.09769	1.09820	14103	0	0
2023.07.11	16:00:00	1.09819	1.10029	1.09783	1.10023	13632	0	0
2023.07.11	20:00:00	1.10022	1.10092	1.09977	1.10079	4736	0	0
2023.07.12	00:00:00	1.10074	1.10216	1.09972	1.10187	2921	0	0
2023.07.12	04:00:00	1.10187	1.10369	1.10185	1.10362	5539	0	0
2023.07.12	08:00:00	1.10362	1.10362	1.10205	1.10223	9133	0	0
2023.07.12	12:00:00	1.10222	1.10720	1.10136	1.10582	20025	0	0
2023.07.12	16:00:00	1.10583	1.11335	1.10563	1.11321	30965	0	0
2023.07.12	20:00:00	1.11319	1.11404	1.11246	1.11292	6902	0	0
2023.07.13	00:00:00	1.11251	1.11451	1.11251	1.11381	3549	0	0
2023.07.13	04:00:00	1.11381	1.11488	1.11365	1.11411	4948	0	0
2023.07.13	08:00:00	1.11411	1.11701	1.11296	1.11610	16280	0	0
2023.07.13	12:00:00	1.11610	1.11893	1.11552	1.11797	18972	0	0
2023.07.13	16:00:00	1.11799	1.12089	1.11763	1.12059	21999	0	0
2023.07.13	20:00:00	1.12058	1.12279	1.12023	1.12252	7708	0	0
2023.07.14	00:00:00	1.12257	1.12296	1.12028	1.12227	4480	0	0
2023.07.14	04:00:00	1.12227	1.12429	1.12222	1.12332	6006	0	0
2023.07.14	08:00:00	1.12332	1.12358	1.12043	1.12313	11959	0	0
2023.07.14	12:00:00	1.12313	1.12450	1.12099	1.12258	14077	0	0
2023.07.14	16:00:00	1.12258	1.12444	1.12150	1.12395	23095	0	0
2023.07.14	20:00:00	1.12399	1.12399	1.12265	1.12303	4117	0	0
2023.07.17	00:00:00	1.12288	1.12345	1.12195	1.12246	2652	0	0
2023.07.17	04:00:00	1.12246	1.12284	1.12145	1.12270	4389	0	0
2023.07.17	08:00:00	1.12270	1.12488	1.12221	1.12380	10436	0	0
2023.07.17	12:00:00	1.12380	1.12450	1.12209	1.12356	10852	0	0
2023.07.17	16:00:00	1.12356	1.12383	1.12033	1.12330	12335	0	0
2023.07.17	20:00:00	1.12330	1.12461	1.12314	1.12314	5751	0	0
2023.07.18	00:00:00	1.12314	1.12464	1.12308	1.12418	2659	0	0
2023.07.18	04:00:00	1.12419	1.12564	1.12385	1.12518	6763	0	0
2023.07.18	08:00:00	1.12518	1.12758	1.12281	1.12369	16438	0	0
2023.07.18	12:00:00	1.12373	1.12698	1.12231	1.12397	18575	0	0
2023.07.18	16:00:00	1.12398	1.12460	1.12089	1.12148	25710	0	0
2023.07.18	20:00:00	1.12148	1.12315	1.12094	1.12280	6199	0	0
2023.07.19	00:00:00	1.12263	1.12327	1.12232	1.12296	3086	0	0
2023.07.19	04:00:00	1.12296	1.12313	1.12163	1.12218	5620	0	0
2023.07.19	08:00:00	1.12217	1.12373	1.11958	1.12323	18787	0	0
2023.07.19	12:00:00	1.12321	1.12402	1.12088	1.12171	12863	0	0
2023.07.19	16:00:00	1.12171	1.12247	1.11744	1.11921	22494	0	0
2023.07.19	20:00:00	1.11921	1.12050	1.11902	1.11986	6314	0	0
2023.07.20	00:00:00	1.11991	1.12202	1.11941	1.12182	3928	0	0
2023.07.20	04:00:00	1.12181	1.12290	1.12156	1.12214	6302	0	0
2023.07.20	08:00:00	1.12214	1.12232	1.11981	1.12086	12426	0	0
2023.07.20	12:00:00	1.12086	1.12167	1.11772	1.11827	15328	0	0
2023.07.20	16:00:00	1.11826	1.11886	1.11185	1.11240	23183	0	0
2023.07.20	20:00:00	1.11241	1.11348	1.11220	1.11290	6523	0	0
2023.07.21	00:00:00	1.11291	1.11382	1.11234	1.11375	3607	0	0
2023.07.21	04:00:00	1.11374	1.11417	1.11310	1.11396	5924	0	0
2023.07.21	08:00:00	1.11396	1.11449	1.11216	1.11283	14060	0	0
2023.07.21	12:00:00	1.11283	1.11344	1.11173	1.11284	14555	0	0
2023.07.21	16:00:00	1.11284	1.11381	1.11080	1.11235	14501	0	0
2023.07.21	20:00:00	1.11235	1.11303	1.11192	1.11246	4381	0	0
2023.07.24	00:00:00	1.11213	1.11328	1.11203	1.11298	3280	0	0
2023.07.24	04:00:00	1.11298	1.11311	1.11170	1.11202	4701	0	0
2023.07.24	08:00:00	1.11199	1.11470	1.10653	1.10710	23193	0	0
2023.07.24	12:00:00	1.10710	1.11090	1.10696	1.10877	12795	0	0
2023.07.24	16:00:00	1.10877	1.11049	1.10691	1.10815	18571	0	0
2023.07.24	20:00:00	1.10815	1.10845	1.10603	1.10641	5001	0	0
2023.07.25	00:00:00	1.10636	1.10701	1.10598	1.10673	2895	0	0
2023.07.25	04:00:00	1.10673	1.10816	1.10671	1.10703	5858	0	0
2023.07.25	08:00:00	1.10703	1.10869	1.10526	1.10648	14858	0	0
2023.07.25	12:00:00	1.10648	1.10676	1.10390	1.10484	12679	0	0
2023.07.25	16:00:00	1.10484	1.10549	1.10206	1.10423	17436	0	0
2023.07.25	20:00:00	1.10422	1.10553	1.10355	1.10497	6289	0	0
2023.07.26	00:00:00	1.10500	1.10567	1.10442	1.10457	2897	0	0
2023.07.26	04:00:00	1.10457	1.10531	1.10378	1.10482	4743	0	0
2023.07.26	08:00:00	1.10481	1.10777	1.10476	1.10757	12636	0	0
2023.07.26	12:00:00	1.10757	1.10861	1.10574	1.10683	10241	0	0
2023.07.26	16:00:00	1.10683	1.10823	1.10578	1.10719	14756	0	0
2023.07.26	20:00:00	1.10718	1.11065	1.10562	1.10852	31643	0	0
2023.07.27	00:00:00	1.10856	1.10891	1.10738	1.10861	3703	0	0
2023.07.27	04:00:00	1.10861	1.11179	1.10861	1.10959	6650	0	0
2023.07.27	08:00:00	1.10959	1.11393	1.10880	1.11391	13545	0	0
2023.07.27	12:00:00	1.11392	1.11497	1.10473	1.10593	27309	0	0
2023.07.27	16:00:00	1.10590	1.10651	1.09840	1.09902	40135	0	0
2023.07.27	20:00:00	1.09905	1.10106	1.09659	1.09765	19400	0	0
2023.07.28	00:00:00	1.09762	1.09836	1.09737	1.09802	3589	0	0
2023.07.28	04:00:00	1.09802	1.09881	1.09596	1.09729	17383	0	0
2023.07.28	08:00:00	1.09729	1.09913	1.09437	1.09597	28952	0	0
2023.07.28	12:00:00	1.09599	1.10334	1.09564	1.10093	21616	0	0
2023.07.28	16:00:00	1.10094	1.10477	1.09931	1.10255	26788	0	0
2023.07.28	20:00:00	1.10255	1.10297	1.10116	1.10141	8613	0	0
2023.07.31	00:00:00	1.10230	1.10279	1.10101	1.10221	3894	0	0
2023.07.31	04:00:00	1.10221	1.10264	1.10059	1.10060	6286	0	0
2023.07.31	08:00:00	1.10060	1.10359	1.10054	1.10339	13333	0	0
2023.07.31	12:00:00	1.10340	1.10403	1.10190	1.10282	13432	0	0
2023.07.31	16:00:00	1.10283	1.10459	1.10039	1.10067	22128	0	0
2023.07.31	20:00:00	1.10065	1.10114	1.09932	1.09964	4800	0	0
2023.08.01	00:00:00	1.09966	1.10029	1.09883	1.09889	2566	0	0
2023.08.01	04:00:00	1.09888	1.09910	1.09801	1.09903	4430	0	0
2023.08.01	08:00:00	1.09898	1.10003	1.09702	1.09744	12599	0	0
2023.08.01	12:00:00	1.09745	1.09846	1.09525	1.09564	14178	0	0
2023.08.01	16:00:00	1.09565	1.09891	1.09560	1.09720	24330	0	0
2023.08.01	20:00:00	1.09720	1.09852	1.09628	1.09842	5878	0	0
2023.08.02	00:00:00	1.09816	1.10187	1.09756	1.09962	6964	0	0
2023.08.02	04:00:00	1.09962	1.10070	1.09800	1.09892	6107	0	0
2023.08.02	08:00:00	1.09892	1.10007	1.09762	1.09844	13877	0	0
2023.08.02	12:00:00	1.09843	1.09872	1.09576	1.09598	18395	0	0
