State,Action,Q_Value
[[-0.95693934  0.82837375  0.99667651]],2,0.0
[[-0.95693934  0.8029555   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.7504613   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.85655484  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.87976281  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.84384572  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.85765998  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.95988554  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.04111341  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.07095222  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.14610181  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  1.12455156  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.97204209  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.96209582  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.98033065  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.94054557  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.9455187   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.95988554  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.69851967  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.64878832  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.50733026  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.48743772  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.59960954  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.6228175   0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.54987819  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.38244931  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.46036176  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.46367718  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.41449841  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.39184301  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.42168182  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.31116771  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.15092225  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.20286389  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.22551928  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.27027749  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.18683934  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.16639423  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.03584659  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.01540148  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.03529402  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934  0.01554247  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.03916201  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.00213979  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.09331393  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.19222405  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.17177894  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.20327547  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.10436534  0.99667651]],0,[-0.02864964 -0.02053162 -0.02720601]
[[-0.95693934 -0.04468772  0.99667651]],0,0.0
[[-0.95693934 -0.04468772  0.99667651]],1,0.0
[[-0.95693934 -0.04468772  0.99667651]],2,0.0
[[ 1.0540557   0.08516636 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.02755803 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.0562917  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.08005223 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.11928474 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.28395077 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.23366685 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.227036   -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.17012123 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.16791095 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.17398923 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.19167148 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.29997531 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.18890863 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.18559321 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.16183267 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.02645289 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.11873217 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.05684427 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.02534775 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.02755803 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.04634543 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.05960712 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.01222705 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557  -0.07894709 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.4183664  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.5421422  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.5272228  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.5852427  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.80461321 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.14168125 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.06818936 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.02895685 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.02729914 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.89523478 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.6509986  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.61784437 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.52777537 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.54711534 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.64547289 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.669786   -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.68083741 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.71343907 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.68746826 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.66481286 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.71675449 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.79024638 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.90518105 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.97535751 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.00243347 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.94717641 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.91954789 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.9173376  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.89578735 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.88142052 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.78085268 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.85102914 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.86318569 -1.01948801]],0,0.0
[[ 1.0540557   0.86318569 -1.01948801]],1,0.0
[[ 1.0540557   0.86318569 -1.01948801]],2,0.0
[[ 1.0540557   0.80350807 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.06542651 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.03779798 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.16820463 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.10300131 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.09637046 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
